17,2,43
17,5,38
17,6,37
18,-7,39
18,-6,43
18,-5,43
18,-4,42
18,-3,44
18,-2,40
18,-1,43
18,1,44
18,2,43
18,3,41
18,4,41
18,5,33
18,6,46
18,9,34
18,10,30
18,11,27
18,12,22
18,13,22
18,14,22
18,15,22
19,-8,46
19,-7,46
19,-6,44
19,-5,38
19,-4,43
19,-3,43
19,-2,45
19,-1,41
19,0,43
19,1,44
19,2,46
19,3,41
19,4,23
19,5,23
19,6,45
19,7,23
19,8,44
19,9,23
19,10,23
19,11,22
19,12,35
19,13,25
19,14,29
19,15,27
19,16,27
19,17,33
19,18,25
19,19,28
19,20,35
19,21,29
19,22,28
20,-8,47
20,-7,46
20,-6,42
20,-5,42
20,-4,44
20,-3,44
20,-2,45
20,-1,44
20,0,40
20,1,45
20,2,40
20,3,35
20,4,35
20,5,35
20,6,44
20,7,37
20,8,37
20,9,38
20,10,36
20,11,34
20,12,35
20,13,36
20,14,39
20,15,36
20,16,40
20,17,24
20,18,24
20,19,29
20,20,26
20,21,24
21,-8,45
21,-7,43
21,-5,43
21,-4,45
21,-3,54
21,-2,34
21,-1,37
21,0,37
21,1,39
21,2,39
21,3,36
21,4,37
21,5,35
21,6,37
21,7,41
21,8,35
21,9,37
21,10,26
21,11,31
21,12,27
21,13,38
21,14,35
21,15,28
21,16,27
21,17,28
21,18,31
21,19,29
22,-9,41
22,-8,43
22,-7,44
22,-6,44
22,-5,41
22,-4,43
22,-3,39
22,-2,40
22,-1,43
22,0,36
22,1,43
22,2,36
22,3,43
22,4,34
22,5,38
22,6,34
22,7,42
22,8,39
22,9,36
22,10,35
22,11,33
22,12,24
22,13,25
22,14,37
22,15,37
22,16,30
22,17,30
22,18,31
22,19,27
22,20,26
23,-9,44
23,-8,43
23,-7,44
23,-6,40
23,-5,41
23,-4,39
23,-3,45
23,-2,44
23,-1,43
23,0,39
23,1,45
23,2,42
23,3,41
23,4,42
23,5,37
23,6,43
23,7,36
23,8,43
23,9,38
23,10,42
23,11,36
23,12,42
23,13,39
23,14,36
23,15,35
23,16,36
23,17,38
23,18,37
23,19,37
23,20,36
24,-4,44
24,-2,42
24,-1,42
24,0,41
24,1,44
24,2,41
24,3,38
24,4,40
24,5,39
24,6,42
24,7,42
24,8,45
24,9,44
24,10,40
24,11,39
